Generation,Best Fitness,Mean Fitness
1,-215.97665625,-238.67016015624998
2,-214.09759375000002,-232.1829296875
3,-212.79943749999995,-217.57196875
4,-212.79943749999995,-220.96555468749997
5,-212.79943749999995,-220.56420312499998
6,-202.53971874999996,-215.79774999999995
7,-202.53971874999996,-220.94289453124998
8,-202.53971874999996,-209.56366406249998
9,-202.53971874999996,-210.29901171874997
10,-202.53971874999996,-212.81881249999998
11,-202.53971874999996,-208.45832031249998
12,-202.53971874999996,-215.67371874999998
13,-202.53971874999996,-210.96642187499998
14,-202.53971874999996,-215.48830078124996
15,-200.6639375,-207.61997265624998
16,-200.6639375,-209.86201953124998
17,-200.6639375,-217.8156796875
18,-200.6639375,-217.452828125
19,-200.6639375,-210.26812109374998
20,-200.6639375,-214.085953125
21,-200.6639375,-212.69773046875
22,-200.6639375,-210.8746640625
23,-200.6639375,-212.22558984375002
24,-200.6639375,-212.2002109375
25,-200.6639375,-216.62000390625
26,-200.6639375,-208.70855078124998
27,-200.6639375,-212.46031640625
28,-200.6639375,-208.18376171875
29,-200.6639375,-211.32108984375
30,-200.6639375,-212.1099140625
